design
shower
extremely
stop
get
walking
definitely
canal
wonderful
near
large
recommend
metro
5
away
one
back
restaurants
check
distance
outside
10
decor
located
day
like
next
time
access
size
front
convenient
made
always
liked
stayed
around
new
every
bus
minute
value
2
pleasant
go
atmosphere
even
welcoming
museums
transport
wifi
within
machine
floor
much
night
lobby
square
enjoyed
quality
